Country,Region,Population,Area (sq. mi.)
Puerto Rico ,LATIN AMER. & CARIB    ,3927188,13790
Qatar ,NEAR EAST                          ,885359,11437
Reunion ,SUB-SAHARAN AFRICA                 ,787584,2517
Romania ,EASTERN EUROPE                     ,22303552,237500
Russia ,EUROPE,142893540,17075200
Rwanda ,SUB-SAHARAN AFRICA                 ,8648248,26338
Saint Helena ,SUB-SAHARAN AFRICA                 ,7502,413
Saint Kitts & Nevis ,LATIN AMER. & CARIB    ,39129,261
Saint Lucia ,LATIN AMER. & CARIB    ,168458,616
Saint Vincent and the Grenadines ,LATIN AMER. & CARIB    ,117848,389
Samoa ,OCEANIA                            ,176908,2944
San Marino ,WESTERN EUROPE                     ,29251,61
Sao Tome & Principe ,SUB-SAHARAN AFRICA                 ,193413,1001
Saudi Arabia ,NEAR EAST                          ,27019731,1960582
Senegal ,SUB-SAHARAN AFRICA                 ,11987121,196190
Serbia ,EASTERN EUROPE                     ,9396411,88361
Seychelles ,SUB-SAHARAN AFRICA                 ,81541,455
Sierra Leone ,SUB-SAHARAN AFRICA                 ,6005250,71740
Singapore ,ASIA,4492150,693
Slovakia ,EASTERN EUROPE                     ,5439448,48845
Slovenia ,EASTERN EUROPE                     ,2010347,20273
Solomon Islands ,OCEANIA                            ,552438,28450
Somalia ,SUB-SAHARAN AFRICA                 ,8863338,637657
South Africa ,SUB-SAHARAN AFRICA                 ,44187637,1219912
Spain ,WESTERN EUROPE                     ,40397842,504782
Sri Lanka ,ASIA,20222240,65610
St Pierre & Miquelon ,NORTHERN AMERICA                   ,7026,242
Sudan ,SUB-SAHARAN AFRICA                 ,41236378,2505810
Suriname ,LATIN AMER. & CARIB    ,439117,163270
Swaziland ,SUB-SAHARAN AFRICA                 ,1136334,17363
Sweden ,WESTERN EUROPE                     ,9016596,449964
Switzerland ,WESTERN EUROPE                     ,7523934,41290
Syria ,NEAR EAST                          ,18881361,185180
Taiwan ,ASIA,23036087,35980
Tajikistan ,EUROPE,7320815,143100
Tanzania ,SUB-SAHARAN AFRICA                 ,37445392,945087
Thailand ,ASIA,64631595,514000
Togo ,SUB-SAHARAN AFRICA                 ,5548702,56785
Tonga ,OCEANIA                            ,114689,748
Trinidad & Tobago ,LATIN AMER. & CARIB    ,1065842,5128
Tunisia ,NORTHERN AFRICA                    ,10175014,163610
Turkey ,NEAR EAST                          ,70413958,780580
Turkmenistan ,EUROPE,5042920,488100
Turks & Caicos Is ,LATIN AMER. & CARIB    ,21152,430
Tuvalu ,OCEANIA                            ,11810,26
Uganda ,SUB-SAHARAN AFRICA                 ,28195754,236040
Ukraine ,EUROPE,46710816,603700
United Arab Emirates ,NEAR EAST                          ,2602713,82880
United Kingdom ,WESTERN EUROPE                     ,60609153,244820
United States ,NORTHERN AMERICA                   ,298444215,9631420
Uruguay ,LATIN AMER. & CARIB    ,3431932,176220
Uzbekistan ,EUROPE,27307134,447400
Vanuatu ,OCEANIA                            ,208869,12200
Venezuela ,LATIN AMER. & CARIB    ,25730435,912050
Vietnam ,ASIA,84402966,329560
Virgin Islands ,LATIN AMER. & CARIB    ,108605,1910
Wallis and Futuna ,OCEANIA                            ,16025,274
West Bank ,NEAR EAST                          ,2460492,5860
Western Sahara ,NORTHERN AFRICA                    ,273008,266000
Yemen ,NEAR EAST                          ,21456188,527970
Zambia ,SUB-SAHARAN AFRICA                 ,11502010,752614
Zimbabwe ,SUB-SAHARAN AFRICA                 ,12236805,390580
